"AS OF DATE","PROCESSED DATE","SOURCE NAME 1","SOURCE NAME 2","FUND","MODEL","TYPE","DESCRIPTION","CATEGORY","SHARES","PRICE","TOTAL"
"2024-10-31","2024-11-04","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","274.890000","4.870"
"2024-03-21","2024-03-26","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","254.160000","4.880"
"2024-03-28","2024-03-28","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0510000000","254.160000","12.880"
"2024-03-28","2024-03-28","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0100000000","254.160000","2.420"
"2024-04-04","2024-04-08","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","255.260000","4.880"
"2024-12-26","2024-12-30","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","259.430000","4.870"
"2024-12-12","2024-12-16","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0180000000","277.670000","4.870"
"2023-12-28","2023-12-29","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0200000000","244.300000","4.820"
"2024-01-12","2024-01-12","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0200000000","244.760000","4.820"
"2024-01-25","2024-01-29","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0200000000","246.860000","4.820"
"2024-02-08","2024-02-09","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0200000000","245.000000","4.820"
"2024-02-22","2024-02-23","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0200000000","250.120000","4.880"
"2024-03-07","2024-03-11","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","253.940000","4.880"
"2023-11-02","2023-11-03","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0220000000","223.920000","4.820"
"2023-11-16","2023-11-20","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0210000000","230.910000","4.820"
"2023-11-30","2023-12-01","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0210000000","234.810000","4.820"
"2023-12-21","2023-12-21","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0090000000","240.860000","2.180"
"2023-12-21","2023-12-21","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0380000000","240.880000","9.140"
"2023-12-14","2023-12-15","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0190000000","247.150000","4.820"
"2023-08-24","2023-08-28","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0370000000","229.220000","8.440"
"2023-09-07","2023-09-11","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0360000000","232.270000","8.440"
"2023-09-21","2023-09-22","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0370000000","229.050000","8.440"
"2023-10-05","2023-10-06","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0380000000","221.080000","8.440"
"2023-09-29","2023-09-29","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0080000000","225.310000","1.740"
"2023-10-19","2023-10-20","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0220000000","222.910000","4.820"
"2025-01-23","2025-01-24","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.2660000000","27.580000","62.500"
"2025-02-06","2025-02-10","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.2730000000","27.500000","62.500"
"2025-02-12","2025-02-12","EMPLOYEE 401(k)","","VSVNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0810000000","27.660000","-2.250"
"2023-07-13","2023-07-14","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0360000000","232.930000","8.440"
"2023-07-27","2023-07-31","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0350000000","237.700000","8.440"
"2023-08-10","2023-08-11","EMPLOYEE 401(k)","","DOXGX","5019","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","0.0360000000","235.970000","8.440"
"2023-08-24","2023-08-28","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","4.8800000000","22.180000","108.250"
"2023-08-10","2023-08-11","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","4.7820000000","22.640000","108.250"
"2023-07-27","2023-07-31","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","4.6660000000","23.200000","108.250"
"2023-07-13","2023-07-14","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","4.7150000000","22.960000","108.250"
"2025-01-09","2025-01-13","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.3670000000","26.410000","62.500"
"2025-01-14","2025-01-14","EMPLOYEE 401(k)","","VSVNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0820000000","26.380000","-2.170"
"2023-11-16","2023-11-20","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.7340000000","22.640000","61.900"
"2023-11-02","2023-11-03","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.8510000000","21.710000","61.900"
"2023-10-19","2023-10-20","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.8900000000","21.420000","61.900"
"2023-10-05","2023-10-06","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","5.0470000000","21.450000","108.250"
"2023-09-21","2023-09-22","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","4.9410000000","21.910000","108.250"
"2023-09-07","2023-09-11","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","4.8410000000","22.360000","108.250"
"2024-01-12","2024-01-12","EMPLOYEE 401(k)","","VSVNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0700000000","23.550000","-1.640"
"2024-01-12","2024-01-12","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.6280000000","23.550000","61.900"
"2023-12-28","2023-12-29","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.6070000000","23.740000","61.900"
"2023-12-14","2023-12-15","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.6070000000","23.740000","61.900"
"2023-12-29","2023-12-29","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","4.7000000000","23.740000","111.590"
"2023-11-30","2023-12-01","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.7020000000","22.910000","61.900"
"2024-03-21","2024-03-26","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.4840000000","25.160000","62.500"
"2024-03-14","2024-03-14","EMPLOYEE 401(k)","","VSVNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0700000000","25.030000","-1.750"
"2024-02-22","2024-02-23","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.5430000000","24.580000","62.500"
"2024-02-12","2024-02-12","EMPLOYEE 401(k)","","VSVNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0690000000","24.220000","-1.670"
"2024-02-08","2024-02-09","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.5660000000","24.120000","61.900"
"2024-01-25","2024-01-29","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.6000000000","23.810000","61.900"
"2025-01-02","2025-01-02","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","6.5800000000","26.750000","176.010"
"2025-01-02","2025-01-02","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0040000000","26.750000","0.110"
"2025-01-02","2025-01-02","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","REINVESTED DIVIDEND","GAIN/LOSS","0.0060000000","26.740000","0.160"
"2024-04-12","2024-04-12","EMPLOYEE 401(k)","","VSVNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0730000000","25.050000","-1.810"
"2024-04-04","2024-04-08","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.4870000000","25.130000","62.500"
"2024-03-07","2024-03-11","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.5090000000","24.910000","62.500"
"2024-10-31","2024-11-04","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.3120000000","27.030000","62.500"
"2024-11-14","2024-11-18","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.2990000000","27.190000","62.500"
"2024-12-10","2024-12-10","EMPLOYEE 401(k)","","VSVNX","","SALE OF SHARES","TRUSTEE FEE","FEES","-0.0780000000","28.120000","-2.200"
"2024-11-27","2024-11-29","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.2540000000","27.730000","62.500"
"2024-12-12","2024-12-16","EMPLOYEE 401(k)","","VSVNX","","PURCHASE OF SHARES","EMPLOYEE PRE-TAX CONTRIBUTION","CONTRIBUTION","2.2380000000","27.930000","62.500"
